county,state,annual_v_cumulative,total_pop_change,natural_change,births,deaths,total,international,domestic
Pickens County,South Carolina,Annual ,"1,503",-125,"1,234","1,359","1,622",422,"1,200"
Richland County,South Carolina,Annual ,"5,415",952,"4,425","3,473","4,459","2,110","2,349"
Saluda County,South Carolina,Annual ,152,-21,263,284,172,132,40
Spartanburg County,South Carolina,Annual ,"10,566",538,"4,107","3,569","10,037","1,918","8,119"
Sumter County,South Carolina,Annual ,366,62,"1,302","1,240",297,138,159
Union County,South Carolina,Annual ,-73,-248,236,484,173,45,128
Williamsburg County,South Carolina,Annual ,-163,-186,287,473,24,61,-37
York County,South Carolina,Annual ,"4,626",555,"3,210","2,655","4,072","1,413","2,659"
Aurora County,South Dakota,Annual ,-44,-14,37,51,-28,3,-31
Beadle County,South Dakota,Annual ,79,115,271,156,-37,205,-242
Bennett County,South Dakota,Annual ,-23,9,49,40,-32,8,-40
Bon Homme County,South Dakota,Annual ,-17,-46,70,116,30,3,27
Brookings County,South Dakota,Annual ,447,139,372,233,304,256,48
Brown County,South Dakota,Annual ,-155,-33,383,416,-124,31,-155
Brule County,South Dakota,Annual ,-65,-7,61,68,-57,2,-59
Buffalo County,South Dakota,Annual ,-59,7,32,25,-65,0,-65
Butte County,South Dakota,Annual ,23,22,128,106,1,-2,3
Campbell County,South Dakota,Annual ,-15,-2,27,29,-13,2,-15
Charles Mix County,South Dakota,Annual ,72,46,149,103,24,2,22
Clark County,South Dakota,Annual ,29,13,68,55,17,6,11
Clay County,South Dakota,Annual ,-153,-5,133,138,-149,34,-183
Codington County,South Dakota,Annual ,326,57,334,277,271,4,267
Corson County,South Dakota,Annual ,-9,28,81,53,-36,0,-36
Custer County,South Dakota,Annual ,213,-23,77,100,238,11,227
Davison County,South Dakota,Annual ,-66,-29,227,256,-36,10,-46
Day County,South Dakota,Annual ,-37,-56,55,111,19,8,11
Deuel County,South Dakota,Annual ,-10,19,58,39,-30,0,-30
Dewey County,South Dakota,Annual ,143,212,297,85,-69,1,-70
Douglas County,South Dakota,Annual ,5,10,43,33,-5,5,-10
Edmunds County,South Dakota,Annual ,-40,-15,29,44,-24,3,-27
Fall River County,South Dakota,Annual ,-10,-90,44,134,80,0,80
Faulk County,South Dakota,Annual ,1,-20,33,53,19,1,18
Grant County,South Dakota,Annual ,47,2,107,105,45,11,34
Gregory County,South Dakota,Annual ,87,7,49,42,80,1,79
Haakon County,South Dakota,Annual ,-21,5,29,24,-26,0,-26
Hamlin County,South Dakota,Annual ,146,83,137,54,62,26,36
Hand County,South Dakota,Annual ,-17,-9,33,42,-8,3,-11
Hanson County,South Dakota,Annual ,20,19,37,18,1,5,-4
Harding County,South Dakota,Annual ,11,17,17,0,-5,1,-6
Hughes County,South Dakota,Annual ,-91,31,212,181,-123,-3,-120
Hutchinson County,South Dakota,Annual ,-7,-15,97,112,9,4,5
Hyde County,South Dakota,Annual ,25,-9,14,23,34,0,34
Jackson County,South Dakota,Annual ,-35,15,51,36,-50,0,-50
Jerauld County,South Dakota,Annual ,39,34,50,16,5,3,2
Jones County,South Dakota,Annual ,12,-3,5,8,16,16,0
Kingsbury County,South Dakota,Annual ,-1,-23,60,83,21,0,21
Lake County,South Dakota,Annual ,-27,16,113,97,-43,2,-45
Lawrence County,South Dakota,Annual ,703,-35,236,271,735,41,694
Lincoln County,South Dakota,Annual ,"2,102",184,564,380,"1,913",89,"1,824"
Lyman County,South Dakota,Annual ,1,4,67,63,-4,5,-9
McCook County,South Dakota,Annual ,-38,1,72,71,-38,0,-38
McPherson County,South Dakota,Annual ,-28,-23,18,41,-4,0,-4
Marshall County,South Dakota,Annual ,37,12,61,49,26,3,23
Meade County,South Dakota,Annual ,-13,32,313,281,-44,2,-46
Mellette County,South Dakota,Annual ,-9,-4,28,32,-5,0,-5
Miner County,South Dakota,Annual ,10,9,27,18,0,0,0
Minnehaha County,South Dakota,Annual ,"2,175","1,255","2,723","1,468",900,587,313
Moody County,South Dakota,Annual ,85,34,107,73,53,27,26
Oglala Lakota County,South Dakota,Annual ,-47,57,250,193,-103,0,-103
Pennington County,South Dakota,Annual ,145,258,"1,366","1,108",-126,50,-176
Perkins County,South Dakota,Annual ,9,-8,34,42,18,0,18
Potter County,South Dakota,Annual ,-14,-13,20,33,0,0,0
Roberts County,South Dakota,Annual ,61,13,142,129,49,8,41
Sanborn County,South Dakota,Annual ,-15,-1,33,34,-15,8,-23
Spink County,South Dakota,Annual ,-41,-25,63,88,-17,4,-21
Stanley County,South Dakota,Annual ,-25,-7,31,38,-17,0,-17
Sully County,South Dakota,Annual ,-17,-2,12,14,-14,5,-19
Todd County,South Dakota,Annual ,-3,5,120,115,-7,44,-51
Tripp County,South Dakota,Annual ,110,81,140,59,29,3,26
Turner County,South Dakota,Annual ,35,61,153,92,-24,36,-60
Union County,South Dakota,Annual ,216,95,245,150,122,15,107
Walworth County,South Dakota,Annual ,6,26,82,56,-20,1,-21
Yankton County,South Dakota,Annual ,0,-2,239,241,3,25,-22
Ziebach County,South Dakota,Annual ,96,74,96,22,22,1,21
Anderson County,Tennessee,Annual ,"1,106",-287,857,"1,144","1,401",125,"1,276"
Bedford County,Tennessee,Annual ,954,165,726,561,792,202,590
Benton County,Tennessee,Annual ,6,-67,162,229,72,-2,74
Bledsoe County,Tennessee,Annual ,583,-38,110,148,620,9,611
Blount County,Tennessee,Annual ,827,-509,"1,330","1,839","1,339",177,"1,162"
Bradley County,Tennessee,Annual ,"1,650",-4,"1,211","1,215","1,650",428,"1,222"
Campbell County,Tennessee,Annual ,13,-326,413,739,338,21,317
Cannon County,Tennessee,Annual ,91,-33,173,206,122,5,117
Carroll County,Tennessee,Annual ,157,-106,337,443,264,30,234
Carter County,Tennessee,Annual ,322,-424,481,905,744,117,627
Cheatham County,Tennessee,Annual ,357,-64,446,510,423,73,350
Chester County,Tennessee,Annual ,154,9,211,202,143,29,114
Claiborne County,Tennessee,Annual ,332,-161,350,511,493,52,441
Clay County,Tennessee,Annual ,185,-47,72,119,232,15,217
Cocke County,Tennessee,Annual ,324,-359,366,725,679,21,658
Coffee County,Tennessee,Annual ,813,-108,682,790,918,145,773
Crockett County,Tennessee,Annual ,-18,-58,167,225,40,3,37
Cumberland County,Tennessee,Annual ,770,-565,541,"1,106","1,328",1,"1,327"
Davidson County,Tennessee,Annual ,"10,413","4,439","10,197","5,758","6,048","8,789","-2,741"
Decatur County,Tennessee,Annual ,91,-70,121,191,163,20,143
DeKalb County,Tennessee,Annual ,410,-11,272,283,420,55,365
Dickson County,Tennessee,Annual ,806,-29,655,684,832,57,775
Dyer County,Tennessee,Annual ,-29,-81,441,522,51,3,48
Fayette County,Tennessee,Annual ,394,-70,433,503,462,3,459
Fentress County,Tennessee,Annual ,421,-125,188,313,546,-2,548
Franklin County,Tennessee,Annual ,455,-165,444,609,619,88,531
Gibson County,Tennessee,Annual ,270,-127,617,744,394,30,364
Giles County,Tennessee,Annual ,156,-75,352,427,231,37,194
Grainger County,Tennessee,Annual ,376,-76,244,320,452,8,444
Greene County,Tennessee,Annual ,852,-466,626,"1,092","1,319",30,"1,289"
Grundy County,Tennessee,Annual ,156,-68,174,242,225,-2,227
Hamblen County,Tennessee,Annual ,"1,249",-103,788,891,"1,353",255,"1,098"
Hamilton County,Tennessee,Annual ,"4,984",459,"4,438","3,979","4,501","1,428","3,073"
Hancock County,Tennessee,Annual ,75,-44,63,107,121,1,120
Hardeman County,Tennessee,Annual ,-89,-137,280,417,48,1,47
Hardin County,Tennessee,Annual ,168,-182,287,469,350,5,345
Hawkins County,Tennessee,Annual ,763,-379,529,908,"1,139",1,"1,138"
Haywood County,Tennessee,Annual ,-215,-53,179,232,-160,11,-171
Henderson County,Tennessee,Annual ,118,-117,321,438,235,2,233
Henry County,Tennessee,Annual ,429,-205,301,506,637,11,626
Hickman County,Tennessee,Annual ,71,-119,285,404,192,14,178
Houston County,Tennessee,Annual ,140,-32,74,106,173,0,173
Humphreys County,Tennessee,Annual ,261,-71,187,258,336,8,328
Jackson County,Tennessee,Annual ,32,-121,115,236,151,1,150
Jefferson County,Tennessee,Annual ,"1,320",-295,512,807,"1,616",97,"1,519"
Johnson County,Tennessee,Annual ,130,-156,163,319,288,24,264
Knox County,Tennessee,Annual ,"5,172",333,"5,468","5,135","4,817","2,004","2,813"
Lake County,Tennessee,Annual ,15,-1,80,81,16,3,13
Lauderdale County,Tennessee,Annual ,76,-46,278,324,121,3,118
Lawrence County,Tennessee,Annual ,434,-70,592,662,504,7,497
Lewis County,Tennessee,Annual ,272,-32,147,179,305,20,285
Lincoln County,Tennessee,Annual ,558,-30,462,492,587,33,554
Loudon County,Tennessee,Annual ,"1,548",-297,562,859,"1,841",147,"1,694"
McMinn County,Tennessee,Annual ,"1,034",-102,623,725,"1,137",38,"1,099"
McNairy County,Tennessee,Annual ,38,-195,291,486,235,-2,237
Macon County,Tennessee,Annual ,352,-1,348,349,354,27,327
Madison County,Tennessee,Annual ,"1,019",69,"1,226","1,157",947,248,699
Marion County,Tennessee,Annual ,368,-151,325,476,518,19,499
Marshall County,Tennessee,Annual ,839,77,465,388,761,-1,762
Maury County,Tennessee,Annual ,"2,677",221,"1,355","1,134","2,450",37,"2,413"
Meigs County,Tennessee,Annual ,255,-112,126,238,370,0,370
Monroe County,Tennessee,Annual ,576,-292,501,793,864,-1,865
Montgomery County,Tennessee,Annual ,"5,627","2,126","3,841","1,715","3,467",644,"2,823"
Moore County,Tennessee,Annual ,-1,-4,66,70,4,0,4
Morgan County,Tennessee,Annual ,451,-171,164,335,624,1,623
Obion County,Tennessee,Annual ,-142,-111,340,451,-30,31,-61
Overton County,Tennessee,Annual ,193,-136,230,366,326,0,326
Perry County,Tennessee,Annual ,76,-1,107,108,77,5,72
Pickett County,Tennessee,Annual ,-6,-63,44,107,57,0,57
Polk County,Tennessee,Annual ,272,-152,148,300,425,0,425
Putnam County,Tennessee,Annual ,942,-10,919,929,948,267,681
Rhea County,Tennessee,Annual ,440,-81,402,483,520,4,516
Roane County,Tennessee,Annual ,519,-372,489,861,897,4,893
Robertson County,Tennessee,Annual ,"1,639",45,925,880,"1,599",166,"1,433"
Rutherford County,Tennessee,Annual ,"7,347","1,969","4,508","2,539","5,366","2,557","2,809"
Scott County,Tennessee,Annual ,272,-67,272,339,341,0,341
Sequatchie County,Tennessee,Annual ,431,-28,166,194,460,77,383
Sevier County,Tennessee,Annual ,-40,-179,"1,086","1,265",138,627,-489
Shelby County,Tennessee,Annual ,"-3,379","3,613","12,440","8,827","-6,963","5,341","-12,304"
Smith County,Tennessee,Annual ,238,-66,216,282,307,27,280
Stewart County,Tennessee,Annual ,119,-51,131,182,172,14,158
Sullivan County,Tennessee,Annual ,649,-967,"1,519","2,486","1,615",88,"1,527"
Sumner County,Tennessee,Annual ,"3,298",317,"2,373","2,056","2,981",339,"2,642"
Tipton County,Tennessee,Annual ,302,-74,697,771,380,-1,381
Trousdale County,Tennessee,Annual ,-142,-2,111,113,-140,0,-140
Unicoi County,Tennessee,Annual ,60,-182,152,334,241,4,237
Union County,Tennessee,Annual ,317,-117,190,307,437,-2,439
Van Buren County,Tennessee,Annual ,110,-21,72,93,132,-2,134
Warren County,Tennessee,Annual ,964,-66,543,609,"1,035",127,908
Washington County,Tennessee,Annual ,"1,014",-459,"1,270","1,729","1,457",317,"1,140"
Wayne County,Tennessee,Annual ,-73,-126,130,256,53,3,50
Weakley County,Tennessee,Annual ,52,-119,336,455,174,79,95
White County,Tennessee,Annual ,411,-208,305,513,618,-5,623
Williamson County,Tennessee,Annual ,"3,824",808,"2,368","1,560","3,036","1,291","1,745"
Wilson County,Tennessee,Annual ,"5,596",403,"1,893","1,490","5,203",637,"4,566"
Anderson County,Texas,Annual ,378,-139,531,670,515,275,240
Andrews County,Texas,Annual ,201,183,318,135,18,59,-41
Angelina County,Texas,Annual ,396,97,"1,097","1,000",296,251,45
Aransas County,Texas,Annual ,244,-222,196,418,460,0,460
Archer County,Texas,Annual ,89,10,98,88,81,11,70
Armstrong County,Texas,Annual ,-21,-12,20,32,-9,4,-13
Atascosa County,Texas,Annual ,744,128,653,525,621,21,600
Austin County,Texas,Annual ,885,1,355,354,889,84,805
Bailey County,Texas,Annual ,178,66,133,67,111,214,-103
Bandera County,Texas,Annual ,201,-136,176,312,339,35,304
Bastrop County,Texas,Annual ,"3,800",442,"1,397",955,"3,386",242,"3,144"
Baylor County,Texas,Annual ,34,2,50,48,31,6,25
Bee County,Texas,Annual ,-82,23,313,290,-107,47,-154
Bell County,Texas,Annual ,"5,513","3,242","6,197","2,955","2,238","1,651",587
Bexar County,Texas,Annual ,"29,548","11,145","26,570","15,425","18,294","15,324","2,970"
Blanco County,Texas,Annual ,265,-65,98,163,330,-1,331
Borden County,Texas,Annual ,-13,-3,3,6,-11,0,-11
Bosque County,Texas,Annual ,31,-127,179,306,156,13,143
Bowie County,Texas,Annual ,300,-233,999,"1,232",534,223,311
Brazoria County,Texas,Annual ,"11,802","2,021","4,815","2,794","9,809","2,427","7,382"
Brazos County,Texas,Annual ,"2,361","1,486","2,775","1,289",845,"2,763","-1,918"
Brewster County,Texas,Annual ,-71,-29,69,98,-43,63,-106
Briscoe County,Texas,Annual ,43,3,13,10,41,1,40
Brooks County,Texas,Annual ,-155,-18,102,120,-136,47,-183
Brown County,Texas,Annual ,154,-246,378,624,397,109,288
Burleson County,Texas,Annual ,604,-61,213,274,666,121,545
Burnet County,Texas,Annual ,"1,386",-34,600,634,"1,423",214,"1,209"
Caldwell County,Texas,Annual ,"2,323",190,642,452,"2,141",211,"1,930"
Calhoun County,Texas,Annual ,144,16,228,212,128,99,29
Callahan County,Texas,Annual ,160,-34,139,173,197,8,189
Cameron County,Texas,Annual ,"3,366","2,937","6,170","3,233",425,"2,371","-1,946"
Camp County,Texas,Annual ,123,-14,167,181,136,41,95
Carson County,Texas,Annual ,-43,-7,63,70,-35,2,-37
Cass County,Texas,Annual ,-46,-226,301,527,182,20,162
Castro County,Texas,Annual ,50,26,94,68,24,102,-78
Chambers County,Texas,Annual ,"1,986",328,668,340,"1,669",235,"1,434"
Cherokee County,Texas,Annual ,572,96,668,572,475,79,396
Childress County,Texas,Annual ,-78,-18,75,93,-59,-4,-55
Clay County,Texas,Annual ,36,-51,98,149,87,10,77
Cochran County,Texas,Annual ,12,27,52,25,-17,47,-64
Coke County,Texas,Annual ,18,-26,31,57,42,0,42
Coleman County,Texas,Annual ,81,-92,76,168,172,-2,174
Collin County,Texas,Annual ,"46,694","7,142","12,848","5,706","39,663","20,237","19,426"
Collingsworth County,Texas,Annual ,50,-5,25,30,57,-1,58
Colorado County,Texas,Annual ,225,-13,256,269,238,89,149
Comal County,Texas,Annual ,"7,531",251,"1,882","1,631","7,298",217,"7,081"
Comanche County,Texas,Annual ,301,-11,172,183,315,53,262
Concho County,Texas,Annual ,46,-30,11,41,76,23,53
Cooke County,Texas,Annual ,479,58,505,447,421,55,366
Coryell County,Texas,Annual ,750,328,995,667,418,273,145
Cottle County,Texas,Annual ,-29,-9,8,17,-19,0,-19
Crane County,Texas,Annual ,7,24,70,46,-16,2,-18
Crockett County,Texas,Annual ,-43,-1,31,32,-43,-5,-38
Crosby County,Texas,Annual ,40,12,73,61,28,24,4
Culberson County,Texas,Annual ,59,6,31,25,53,4,49
Dallam County,Texas,Annual ,154,62,137,75,93,296,-203
Dallas County,Texas,Annual ,"19,774","19,625","36,983","17,358",396,"47,564","-47,168"
Dawson County,Texas,Annual ,-145,-30,150,180,-115,22,-137
Deaf Smith County,Texas,Annual ,35,145,307,162,-111,117,-228
Delta County,Texas,Annual ,84,26,83,57,59,3,56
Denton County,Texas,Annual ,"31,384","6,579","11,507","4,928","24,787","9,456","15,331"
DeWitt County,Texas,Annual ,14,-62,218,280,75,42,33
Dickens County,Texas,Annual ,14,-1,17,18,15,3,12
Dimmit County,Texas,Annual ,-98,-11,115,126,-87,3,-90
Donley County,Texas,Annual ,16,-45,18,63,62,7,55
Duval County,Texas,Annual ,-41,18,145,127,-59,1,-60
Eastland County,Texas,Annual ,91,-129,187,316,223,74,149
Ector County,Texas,Annual ,"4,572","1,657","3,067","1,410","2,908","1,810","1,098"
Edwards County,Texas,Annual ,-8,1,19,18,-9,0,-9
Ellis County,Texas,Annual ,"9,063","1,176","2,833","1,657","7,928",564,"7,364"
El Paso County,Texas,Annual ,948,"3,999","10,533","6,534","-3,033","4,315","-7,348"
Erath County,Texas,Annual ,57,129,521,392,-73,68,-141
Falls County,Texas,Annual ,82,-6,192,198,89,29,60
Fannin County,Texas,Annual ,785,-123,376,499,913,18,895
Fayette County,Texas,Annual ,3,-145,245,390,150,40,110
Fisher County,Texas,Annual ,47,-44,28,72,93,4,89
Floyd County,Texas,Annual ,-74,6,55,49,-78,22,-100
Foard County,Texas,Annual ,-31,-5,9,14,-26,0,-26
Fort Bend County,Texas,Annual ,"31,314","5,174","9,629","4,455","26,236","15,769","10,467"
Franklin County,Texas,Annual ,175,-24,108,132,203,69,134
Freestone County,Texas,Annual ,287,-63,219,282,354,47,307
Frio County,Texas,Annual ,709,29,211,182,680,650,30
Gaines County,Texas,Annual ,368,331,476,145,35,76,-41
Galveston County,Texas,Annual ,"4,821",642,"3,892","3,250","4,185","1,425","2,760"
Garza County,Texas,Annual ,55,-24,52,76,78,108,-30
Gillespie County,Texas,Annual ,350,-132,246,378,487,155,332
Glasscock County,Texas,Annual ,2,15,15,0,-14,0,-14
Goliad County,Texas,Annual ,38,-25,76,101,63,0,63
Gonzales County,Texas,Annual ,10,37,296,259,-27,57,-84
Gray County,Texas,Annual ,-142,-55,239,294,-87,97,-184
Grayson County,Texas,Annual ,"3,476",29,"1,690","1,661","3,455",430,"3,025"
Gregg County,Texas,Annual ,148,256,"1,726","1,470",-102,435,-537
Grimes County,Texas,Annual ,921,17,372,355,904,54,850
Guadalupe County,Texas,Annual ,"6,110",607,"2,068","1,461","5,531",282,"5,249"
Hale County,Texas,Annual ,-61,9,357,348,-70,153,-223
Hall County,Texas,Annual ,18,-7,21,28,24,28,-4
Hamilton County,Texas,Annual ,51,-85,74,159,137,40,97
Hansford County,Texas,Annual ,-91,1,71,70,-94,30,-124
Hardeman County,Texas,Annual ,-53,-6,38,44,-48,27,-75
Hardin County,Texas,Annual ,443,-13,670,683,457,44,413
Harris County,Texas,Annual ,"105,852","35,833","65,668","29,835","69,961","101,126","-31,165"
Harrison County,Texas,Annual ,366,84,808,724,286,34,252
Hartley County,Texas,Annual ,-141,10,73,63,-148,21,-169
Haskell County,Texas,Annual ,-7,-87,29,116,82,28,54
Hays County,Texas,Annual ,"10,332","1,598","3,224","1,626","8,738","1,308","7,430"
Hemphill County,Texas,Annual ,-9,-4,28,32,-5,1,-6
Henderson County,Texas,Annual ,"1,190",-262,962,"1,224","1,455",93,"1,362"
Hidalgo County,Texas,Annual ,"12,377","9,208","14,494","5,286","3,117","4,679","-1,562"
Hill County,Texas,Annual ,565,-125,435,560,693,70,623
Hockley County,Texas,Annual ,180,13,274,261,168,47,121
Hood County,Texas,Annual ,"1,445",-157,668,825,"1,606",71,"1,535"
Hopkins County,Texas,Annual ,523,8,462,454,518,128,390
Houston County,Texas,Annual ,115,-58,261,319,174,41,133
Howard County,Texas,Annual ,129,-56,380,436,182,280,-98
Hudspeth County,Texas,Annual ,125,-24,22,46,150,157,-7
Hunt County,Texas,Annual ,"4,975",351,"1,491","1,140","4,650",365,"4,285"
Hutchinson County,Texas,Annual ,-276,-70,215,285,-205,5,-210
Irion County,Texas,Annual ,-37,1,17,16,-40,0,-40
Jack County,Texas,Annual ,178,-25,95,120,201,26,175
Jackson County,Texas,Annual ,89,10,214,204,78,60,18
Jasper County,Texas,Annual ,182,-61,414,475,244,43,201
Jeff Davis County,Texas,Annual ,-72,-23,14,37,-49,-3,-46
Jefferson County,Texas,Annual ,556,620,"3,251","2,631",-83,"1,378","-1,461"
Jim Hogg County,Texas,Annual ,-74,-25,51,76,-49,0,-49
Jim Wells County,Texas,Annual ,75,52,545,493,22,86,-64
Johnson County,Texas,Annual ,"7,351",679,"2,411","1,732","6,708",374,"6,334"
Jones County,Texas,Annual ,85,-78,136,214,163,8,155
Karnes County,Texas,Annual ,83,-21,144,165,104,165,-61
Kaufman County,Texas,Annual ,"11,114","1,447","2,754","1,307","9,746",588,"9,158"
Kendall County,Texas,Annual ,"1,334",-54,434,488,"1,390",152,"1,238"
Kenedy County,Texas,Annual ,-21,6,6,0,-26,0,-26
Kent County,Texas,Annual ,-25,-7,7,14,-19,0,-19
Kerr County,Texas,Annual ,22,-309,452,761,328,85,243
Kimble County,Texas,Annual ,-64,-16,41,57,-49,-3,-46
King County,Texas,Annual ,0,2,4,2,-2,0,-2
Kinney County,Texas,Annual ,-13,-1,35,36,-10,40,-50
Kleberg County,Texas,Annual ,61,94,389,295,-36,158,-194
Knox County,Texas,Annual ,-63,-16,38,54,-46,4,-50
Lamar County,Texas,Annual ,156,-44,628,672,199,94,105
Lamb County,Texas,Annual ,-81,-17,158,175,-63,140,-203
Lampasas County,Texas,Annual ,220,-62,213,275,282,44,238
La Salle County,Texas,Annual ,80,2,66,64,78,73,5
Lavaca County,Texas,Annual ,1,-23,242,265,25,21,4
Lee County,Texas,Annual ,201,26,227,201,176,0,176
Leon County,Texas,Annual ,142,-68,183,251,213,38,175
Liberty County,Texas,Annual ,"5,870",549,"1,528",979,"5,385",322,"5,063"
Limestone County,Texas,Annual ,164,-22,282,304,187,60,127
Lipscomb County,Texas,Annual ,-35,2,35,33,-37,20,-57
Live Oak County,Texas,Annual ,139,-45,97,142,185,116,69
Llano County,Texas,Annual ,280,-178,197,375,462,53,409
Loving County,Texas,Annual ,2,-1,1,2,3,0,3
Lubbock County,Texas,Annual ,"4,960","1,095","4,081","2,986","3,845","2,193","1,652"
Lynn County,Texas,Annual ,141,31,92,61,112,13,99
McCulloch County,Texas,Annual ,-68,-55,100,155,-12,-2,-10
McLennan County,Texas,Annual ,"1,580",814,"3,352","2,538",755,939,-184
McMullen County,Texas,Annual ,-14,-1,11,12,-14,0,-14
Madison County,Texas,Annual ,127,16,176,160,110,21,89
Marion County,Texas,Annual ,11,-149,71,220,160,3,157
Martin County,Texas,Annual ,-21,21,66,45,-44,-2,-42
Mason County,Texas,Annual ,75,-29,38,67,107,-1,108
Matagorda County,Texas,Annual ,-31,21,468,447,-51,300,-351
